Name,Tags,Server end time,File name,Duration,User Name,n_rnn_layers,Epochs,rnn_dim,n_cnn_layers,n_feats,Batch size,Learning Rate,train_curr_step,imag
128_arranged_bce_dp0.1_6layer_w2v_hubert_us4k_hk1k_0.001,,1718230604632,main.py,55572,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_dropout0.2_1,,1718172295636,main.py,75659,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_dannsslfused_bce_w2v_hubert_us4k_hk1k_BCE_0.1_dp0.2,,1718170748823,main.py,74148,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_dann_ind5k_0.005_0606,,1718160763431,main.py,93812,gena0324,4,50,768,4,128,2,1.0E-5,509999,0.0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_dropout0.2_0,,1718089909988,main.py,76473,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_dannsslfused_bce_w2v_hubert_us4k_hk1k_BCE_0.005_dp0.2,,1718087363689,main.py,73855,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_dann_ind5k_0.001_0606,,1718037890073,main.py,101905,gena0324,4,50,768,4,128,2,1.0E-5,261577,0.0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_dropout0.2_0.001,,1718012481384,main.py,76672,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_dannsslfused_bce_w2v_hubert_us4k_hk1k_BCE_0.01_dp0.2,,1718009617482,main.py,73808,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_model_fused_model_fused_wvasr_hbbase_us4k_hk1k_0.001_gpu0_0606,,1717979377446,main.py,43435,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_dropout0.2_0.001,,1717813927259,main.py,44676,gena0324,4,50,768,4,128,2,1.0E-5,59285,0.0
128_dannsslfused_bce_w2v_hubert_us4k_hk1k_BCE_0.01_dp0.2,,1717813925936,main.py,4157,gena0324,4,50,768,4,128,2,1.0E-5,5699,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_dann_ind5k_0.001_0606,,1717813924752,main.py,78715,gena0324,4,50,768,4,128,2,1.0E-5,425359,0.0
130_dann_ssl_model_fused_model_fused_wvasr_hbbase_us4k_hk1k_0.001_gpu0_0606,,1717813923322,main.py,4659,gena0324,4,50,768,4,128,2,1.0E-5,10624,0.0
dann_ssl_2_dann_ssl_model_fused_wvasr_htbase_us20k_ind5k_128server_0.01_0603,,1717800896731,main.py,384085,gena0324,4,50,768,4,128,2,1.0E-5,509999,0.0
130_dann_ssl_model_fused_wvbase_hbbase_us4k_hk1k_0_gpu0_0606,,1717794866310,main.py,43567,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_0.01,,1717757345595,main.py,81862,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_model_fused_wvbase_hbbase_us4k_hk1k_1_gpu0_0606,,1717741771979,main.py,74917,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
130_dann_ssl_model_fused_wvbase_hbbase_us4k_hk1k_0.005_0606,,1717734931715,main.py,46211,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_dann_0.001_0606,,1717733292269,main.py,52977,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl2_domain_pretrained_wv-base-hb_base_us4k_hk1k_6,,1717722311485,main.py,81719,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
130_dann_ssl_model_fused_wvbase_hbbase_us4k_hk1k_6_0606,,1717683337595,main.py,43016,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
w2v_hubert_us4k_hk1k_BCE_0.001,,1717675203148,main.py,81413,gena0324,4,50,768,4,128,2,1.0E-5,20034,0.0
dann_ssl2_domain_pretrained_wv-base-hb_base_us4k_hk1k_1,,1717638471260,main.py,80904,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
dann_ssl_3_dann_ssl_W2V2_asr_us4k_hk1.3k_lr0.00001_0529,,1717548129455,main.py,42312,gena0324,4,50,768,4,128,2,1.0E-5,136781,
