Name,Tags,Server end time,File name,Duration,User Name,n_rnn_layers,Epochs,rnn_dim,n_cnn_layers,n_feats,Batch size,Learning Rate,train_curr_step,imag
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_loss_adjust_hktest_0.0001,,1723366084208,main.py,119329,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_l4_0.0005_domain_loss_change_0810_bcweight,,1723316282130,main.py,69611,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_l4_0.0001_domain_loss_change_0809_bcweight,,1723236780634,main.py,70478,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_l4_0.01_domain_loss_change_0806_bcweight,,1723145155143,main.py,69247,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_loss_adjust_hktest_0.01,,1723107716572,main.py,119763,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_l4_0.001_domain_loss_change_0806_bcweight,,1723002441664,main.py,69567,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_loss_adjust_hktest_0.001,,1722987897368,main.py,73297,gena0324,4,50,768,4,128,2,1.0E-5,63059,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.002_domain_loss_change_0801_weightadjust,,1722888019321,main.py,68350,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_0.0005,,1722842146163,main.py,117781,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.003_domain_loss_change_0801_weightadjust,,1722793469614,main.py,69214,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_0,,1722714885431,main.py,119576,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.005_domain_loss_change_0801_weightadjust,,1722709520586,main.py,69242,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.0001_domain_loss_change_0801_weightadjust,,1722629527710,main.py,69472,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_2,,1722583390310,main.py,119439,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.0005_domain_loss_change_0801_weightadjust,,1722533355317,main.py,69475,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_0.005_domain_loss_change_0728_weightadjust,,1722365304937,main.py,68562,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_1,,1722359510958,main.py,119271,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_dp0.1_w2v_base_us4k_newl4_hk1k_1_domain_loss_change_0728_weightadjust,,1722280872450,main.py,68379,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_arranged_bce_test2_w2v_base-hubert-base_us4k_hmsi_BCE_hktest_0.01,,1722235597048,main.py,118704,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
