Name,Tags,Server end time,File name,Duration,User Name,n_rnn_layers,Epochs,rnn_dim,n_cnn_layers,n_feats,Batch size,Learning Rate,train_curr_step,imag
128_arranged_bce_dp0.1_6layer_w2v_hubert_us4k_hk1k_0.001,,1718230604632,main.py,55572,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_dropout0.2_1,,1718172295636,main.py,75659,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_dannsslfused_bce_w2v_hubert_us4k_hk1k_BCE_0.1_dp0.2,,1718170748823,main.py,74148,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_dann_ind5k_0.005_0606,,1718160763431,main.py,93812,gena0324,4,50,768,4,128,2,1.0E-5,509999,0.0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_dropout0.2_0,,1718089909988,main.py,76473,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
128_dannsslfused_bce_w2v_hubert_us4k_hk1k_BCE_0.005_dp0.2,,1718087363689,main.py,73855,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_dann_ind5k_0.001_0606,,1718037890073,main.py,101905,gena0324,4,50,768,4,128,2,1.0E-5,261577,0.0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_dropout0.2_0.001,,1718012481384,main.py,76672,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
128_dannsslfused_bce_w2v_hubert_us4k_hk1k_BCE_0.01_dp0.2,,1718009617482,main.py,73808,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_model_fused_model_fused_wvasr_hbbase_us4k_hk1k_0.001_gpu0_0606,,1717979377446,main.py,43435,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_dropout0.2_0.001,,1717813927259,main.py,44676,gena0324,4,50,768,4,128,2,1.0E-5,59285,0.0
128_dannsslfused_bce_w2v_hubert_us4k_hk1k_BCE_0.01_dp0.2,,1717813925936,main.py,4157,gena0324,4,50,768,4,128,2,1.0E-5,5699,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_dann_ind5k_0.001_0606,,1717813924752,main.py,78715,gena0324,4,50,768,4,128,2,1.0E-5,425359,0.0
130_dann_ssl_model_fused_model_fused_wvasr_hbbase_us4k_hk1k_0.001_gpu0_0606,,1717813923322,main.py,4659,gena0324,4,50,768,4,128,2,1.0E-5,10624,0.0
dann_ssl_2_dann_ssl_model_fused_wvasr_htbase_us20k_ind5k_128server_0.01_0603,,1717800896731,main.py,384085,gena0324,4,50,768,4,128,2,1.0E-5,509999,0.0
130_dann_ssl_model_fused_wvbase_hbbase_us4k_hk1k_0_gpu0_0606,,1717794866310,main.py,43567,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
dann_ssl_2_dann_ssl_fused_dannsslfused_w2v_hubert_us4k_hk1k_BCE_0.01,,1717757345595,main.py,81862,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_model_fused_wvbase_hbbase_us4k_hk1k_1_gpu0_0606,,1717741771979,main.py,74917,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
130_dann_ssl_model_fused_wvbase_hbbase_us4k_hk1k_0.005_0606,,1717734931715,main.py,46211,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_dann_0.001_0606,,1717733292269,main.py,52977,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl2_domain_pretrained_wv-base-hb_base_us4k_hk1k_6,,1717722311485,main.py,81719,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
130_dann_ssl_model_fused_wvbase_hbbase_us4k_hk1k_6_0606,,1717683337595,main.py,43016,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
w2v_hubert_us4k_hk1k_BCE_0.001,,1717675203148,main.py,81413,gena0324,4,50,768,4,128,2,1.0E-5,20034,0.0
dann_ssl2_domain_pretrained_wv-base-hb_base_us4k_hk1k_1,,1717638471260,main.py,80904,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
dann_ssl_3_dann_ssl_W2V2_asr_us4k_hk1.3k_lr0.00001_0529,,1717548129455,main.py,42312,gena0324,4,50,768,4,128,2,1.0E-5,136781,
dann_ssl_3_dann_ssl_W2V2_asr_us4k_hk1k_lr0.00001_0529,,1717496643552,main.py,39269,gena0324,4,50,768,4,128,2,1.0E-5,127499,
dann_ssl_3_dann_ssl_W2V2_asr_us4k_hk1k_lr0.00001_0529,,1717457252534,main.py,40643,gena0324,4,50,768,4,128,2,1.0E-5,127499,
w2v_hubert_us4k_hk1k_0.001,,1717417193050,main.py,80736,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_3_dann_ssl_hubert_base_us4k_hk1k_lr0.00001_0529,,1717410067842,main.py,39962,gena0324,4,50,768,4,128,2,1.0E-5,127499,
dann_ssl_3_dann_ssl_hubert_base_us20k_ind5k_lr0.00001_0529,,1717307829873,main.py,150431,gena0324,4,50,768,4,128,2,1.0E-5,503341,
w2v_hubert_us4k_hk1k_0.001,,1717307823051,main.py,68259,gena0324,4,50,768,4,128,2,1.0E-5,86178,0.0
dann_ssl_2_dann_ssl_model_fused_htbase_wvasr_us20k_ind5k_128server_0_0520,,1717232432378,main.py,378503,gena0324,4,50,768,4,128,2,1.0E-5,509999,0
dann_ssl_3_dann_ssl_wvasr_us20k_ind5k_lr0.00001_0529,,1717143131034,main.py,187929,gena0324,4,50,768,4,128,2,1.0E-5,637499,
fine_tuning_kr_phone_test_1000_0523_80ep,,1716547294595,main.py,29508,gena0324,4,80,768,4,128,2,1.0E-5,40499,
dann_ssl_new_test_dann_kr_phone_10000_0.001_0522,,1716438505334,main.py,6066,gena0324,4,50,768,4,128,2,1.0E-5,23,
fine_tuning_kr_phone_test_1000_0523_80ep,,1716436995247,main.py,8526,gena0324,4,80,768,4,128,2,1.0E-5,6624,
dann_ssl_2_dann_ssl_model_fused_htbase_wvasr_us20k_ind5k_128server_0_0520,,1716436870129,main.py,70913,gena0324,4,50,768,4,128,2,1.0E-5,89760,0
130_dann_ssl_model_fused_wvasr_hbbase_us20k_ind5k_0.001_0520,,1716407317371,main.py,228854,gena0324,4,50,768,4,128,2,1.0E-5,253375,0.0
fine_tuning_kr_phone_sp_test_2000_0522,,1716387799110,main.py,16251,gena0324,4,50,768,4,128,2,1.0E-5,25499,
fine_tuning_kr_phone_sp_test_10000_0522,,1716362109234,main.py,2790,gena0324,4,50,768,4,128,2,1.0E-5,2727,
dann_ssl_2_dann_ssl_model_fused_htbase_wvasr_us20k_ind5k_128server_0_0520,,1716361792394,main.py,173146,gena0324,4,50,768,4,128,2,1.0E-5,222035,0
ssl_dann_kr_phone_10000_0.001_0522,,1716361714518,main.py,1505,gena0324,4,50,768,4,128,2,1.0E-5,,
kr_pron_prog_new_test_kr_phone_1000_lr0.0001,,1716357848898,main.py,10107,gena0324,4,50,768,4,128,2,1.0E-4,25499,
kr_pron_prog_new_test_kr_phone_1000_lr0.0001,,1716347393240,main.py,478,gena0324,4,50,768,4,128,2,1.0E-4,,
kr_pron_prog_new_test_kr_phone_1000_lr0.00001,,1716205749905,main.py,10152,gena0324,4,50,768,4,128,2,1.0E-5,25499,
dann_ssl_2_dann_ssl_model_fused_htbase_wvasr_us20k_ind5k_128server_0.001_0515,,1716146480774,main.py,387375,gena0324,4,50,768,4,128,2,1.0E-5,509999,0.0
130_dann_ssl_model_fused_wvcl_hbbase_us20k_ind5k_0.005_0510,,1716113757402,main.py,182850,gena0324,4,50,768,4,128,2,1.0E-5,509999,0.0
dann_ssl_fusion_hb_base_us4k_hk1k_51server_0.001,,1715885552142,main.py,40993,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
hubert_hk_us_0.001,,1715841290382,Jupyter interactive,28334,gena0324,4,50,768,4,128,2,1.0E-5,54117,0.0
accent_embedding_wv_base_hb_base_ftonly_us4k_hk1k_51server_0515,,1715829272985,main.py,81917,gena0324,4,50,768,4,128,2,1.0E-5,127499,
dann_ssl_3_dann_ssl_wvasr_hk1k_us4k_lr0.00001_0515,,1715826552093,main.py,43076,gena0324,4,50,768,4,128,2,1.0E-5,127499,
hubert_hk_us_0.001,,1715785645078,Jupyter interactive,28723,gena0324,4,50,768,4,128,2,1.0E-5,57592,0.0
ind5k_us20k_hb_base_ft_0515,,1715784077859,Jupyter interactive,182,gena0324,4,50,768,4,128,2,1.0E-5,,
ind5k_us20k_hb_base_ft_0515,,1715783836236,Jupyter interactive,183,gena0324,4,50,768,4,128,2,1.0E-5,,
ind5k_us20k_hb_base_ft_0515,,1715783595204,Jupyter interactive,540,gena0324,4,50,768,4,128,2,1.0E-5,,
ind5k_us20k_hb_base_ft_0515,,1715782877364,Jupyter interactive,173,gena0324,4,50,768,4,128,2,1.0E-5,,
accent_embedding_hbbase_w2v_base_us4k_hk1k_51server_0.01_0512,,1715739686675,main.py,80517,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_3_dann_ssl_wv_ind1k_us4k_lr0.00001_0511,,1715703752835,main.py,44806,gena0324,4,50,768,4,128,2,1.0E-5,127499,
dann_ssl_2_dann_ssl_model_fused_htbase_wvbase_us4k_hk1k_128server_0.01_0512,,1715685820782,main.py,82191,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_3_dann_ssl_wv_ind1k_us4k_lr0.00001_0511,,1715658138845,main.py,48258,gena0324,4,50,768,4,128,2,1.0E-5,127499,
accent_embedding_hbbase_w2v_base_us4k_hk1k_51server_0.01_0512,,1715642611049,main.py,81477,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_3_dann_ssl_hb_ind1k_us4k_lr0.00001_0511,,1715608453154,main.py,46998,gena0324,4,50,768,4,128,2,1.0E-5,127499,
dann_ssl_2_dann_ssl_model_fused_htbase_wvbase_us4k_hk1k_128server_0.001_0512,,1715603162591,main.py,81186,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
accent_embedding_hbbase_w2v_asr_us4k_hk1k_51server_0.005_0512,,1715559233786,main.py,81952,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_3_dann_ssl_hb_hk1k_us4k_lr0.00001_0511,,1715520961186,main.py,43202,gena0324,4,50,768,4,128,2,1.0E-5,127499,
dann_ssl_3_dann_ssl_hb_us4k_hk1k_lr0.00001_0511,,1715473304925,main.py,43113,gena0324,4,50,768,4,128,2,1.0E-5,127499,
htbase_wvbase_us4k_hk1k_128server_0_0511,,1715466003456,main.py,81095,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
accent_embedding_hbbase_w2v_asr_us4k_hk1k_51server_0.001_0510,,1715461919332,main.py,78082,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_3_dann_ssl_w2v2_us4k_hk1k_lr0.00001_0511,,1715429405614,main.py,45283,gena0324,4,50,768,4,128,2,1.0E-5,127499,
dann_ssl_model_fused_wvcl_hbbase_us4k_hk1k_130server_0.005_0510,,1715420914710,main.py,99853,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_dann_ssl_fused_hubert_base_wv_asr_us4k_hk1k_lr5p_0.001_0510,,1715420728469,main.py,100188,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
accent_embedding_hbbase_w2v_asr_us4k_hk1k_51server_0_0510,,1715380169643,main.py,77127,gena0324,4,50,768,4,128,2,1.0E-5,101999,0
dann_ssl_3_dann_ssl_w2v2_us4k_hk1k_lr0.00001,,1715365677243,main.py,44170,gena0324,4,50,768,4,128,2,1.0E-5,127499,
dann_ssl_us4k_hk1k_0.005_lr0.0001_0510,,1715349811786,main.py,9898,gena0324,4,50,256,4,128,2,1.0E-4,101999,0.0
dann_ssl_us4k_hk1k_0_lr0.0001_0510,,1715327674641,main.py,9513,gena0324,4,50,256,4,128,2,1.0E-4,101999,0
dann_ssl_model_fused_wvasr_hbbase_us4k_hk1k_130server_0.005_0509,,1715319284933,main.py,103153,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
130_dann_ssl_dann_ssl_fused_wv_asr_hubert_base_us4k_hk1k_lr5p_0.005_0508,,1715318150937,main.py,102258,gena0324,4,50,768,4,128,2,1.0E-5,101999,0.0
dann_ssl_us4k_hk1k_0.001_lr0.0001_0510,,1715315641975,main.py,9269,gena0324,4,50,256,4,128,2,1.0E-4,101999,0.0
dann_ssl_us20k_hk1k_0.01_lr0.0001_0508,,1715306072672,main.py,9209,gena0324,4,50,256,4,128,2,1.0E-4,101999,0.0
